Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Hồ Chí Minh,Thủ Đức,Phường Hiệp Bình Chánh,Đường Số 7,128,5,4,Tây - Nam,Tây - Nam,1,7,7,Have certificate,Basic,8.1
Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,đường Tây Mỗ,33,4,4,,Đông,5,3,4,Have certificate,Basic,3.85
Quảng Ninh,Vân Đồn,Xã Hạ Long,Dự án Sonasea Vân Đồn Harbor City,160,10,24,Đông - Nam,Đông - Nam,3,3,3,,Basic,8.3
Hồ Chí Minh,Quận 12,#N/A,Phường Tân Thới Nhất,82,,,,,2,3,2,,,8.5
Khánh Hòa,Nha Trang,Phường Phước Hải,Đường Lê Hồng Phong,92,6,4,Bắc,,1,2,1,Have certificate,,3.3
Quảng Ninh,Vân Đồn,Xã Hạ Long,Dự án Sonasea Vân Đồn Harbor City,160,10,10,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.3
Đồng Nai,Biên Hòa,Phường Tân Phong,Đường Nguyễn Văn Tiên,125,5,12,,,,2,1,Sale contract,Basic,1.65
Hồ Chí Minh,Bình Thạnh,Phường 25,Đường Tân Cảng,60,6,6,,,3,4,3,Have certificate,,9.5
Hà Nội,Nam Từ Liêm,Phường Đại Mỗ,Đường Đại Mỗ,40,5,3,,,5,3,3,Have certificate,Full,6.5
Hồ Chí Minh,Quận 4,Phường 2,Dự án Galaxy 9,40,,,,,,,,,,4.5
Hà Nội.,Nam Từ Liêm,Phường Đại Mỗ,Đường Quang Tiến,34,3.5,3,,,5,3,4,Have certificate,Basic,5.4
Hà Nội,Hoài Đức,Xã Đức Giang,Đường 422B,44,5,2.5,,,4,3,3,Have certificate,Basic,3.29
Quảng Ninh,Vân Đồn,Xã Hạ Long,Dự án Sonasea Vân Đồn Harbor City,160,10,20,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.3
Hà Nội.,Nam Từ Liêm,Phường Đại Mỗ,Đường Ngọc Trục,32,3.5,3,,,5,3,4,Have certificate,Basic,4.6
Hà Nội,Ba Đình,Phường Cống Vị,Đường Vĩnh Phúc,39,5,5.5,,,7,3,6,Have certificate,Full,9.5
Hà Nội,Nam Từ Liêm,Phường Phú Đô,Đường Phú Đô,33,4,3,,,5,3,4,Have certificate,Basic,4.8
Quảng Ninh,Vân Đồn,Xã Hạ Long,Dự án Sonasea Vân Đồn Harbor City,160,10,24,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7.8
Hà Nội,Long Biên,Phường Phúc Đồng,Đường Phúc Đồng,50,4,6,,,4,5,3,Have certificate,Full,7.5
Đà Nẵng,Sơn Trà,Phường An Hải Bắc,Đường Lê Ninh,88,4.5,6,,,4,3,4,Have certificate,Full,9.2
Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Cự Lộc,38,,,,,4,4,3,Have certificate,Full,6
Bình Dương,Thuận An,Phường An Phú,Dự án The Oasis,114,7,20,Tây,,2,3,3,,Full,6.5
Hồ Chí Minh,Bình Thạnh,Phường 12,Đường Chu Văn An,55,,,,,3,3,2,Have certificate,,6.5
Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,Đường Miêu Nha,31,4.15,2.5,Tây,Tây,5,4,5,Have certificate,Basic,3.85
Hà Nội,Ba Đình,Phường Cống Vị,Ngõ 376,39,4.25,6,,,6,4,6,Sale contract,Basic,9.5
Hồ Chí Minh,Phú Nhuận,Phường 1,Đường Cô Giang,61,3.2,6,Đông - Nam,Đông - Nam,2,2,2,Have certificate,,7.2
Đà Nẵng,Ngũ Hành Sơn,#N/A,Phường Mỹ An,60,,3.75,,,4,4,5,Have certificate,Full,6.8
Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Ngõ 169,33,4,3,Đông - Nam,,5,3,4,Have certificate,Full,5.19
Bình Dương,Thủ Dầu Một,Phường Hòa Phú,Dự án Uni-town,95,5,30,Đông - Bắc,Đông - Bắc,3,3,4,Sale contract,,5.5
Ninh Thuận,Phan Rang - Tháp Chàm,Phường Mỹ Đông,Số 84,103.6,5,27,Đông,,,2,1,Have certificate,,3.5
Hà Nội,Chương Mỹ,#N/A,Xã Phụng Châu,35,,3.5,,,3,3,3,,,1.8
Bình Dương,Thuận An,Phường Bình Hòa,Dự án VSIP 1,100,,20,Bắc,,2,2,2,Have certificate,,6.4
Hồ Chí Minh,Tân Phú,Phường Phú Trung,89/ Đường Trịnh Đình Trọng,64,,7,Tây - Bắc,,3,4,3,Have certificate,Basic,8.2
Quảng Ninh,Vân Đồn,Xã Hạ Long,Dự án Sonasea Vân Đồn Harbor City,160,10,24,Tây - Bắc,Đông - Nam,3,3,3,Sale contract,,7
Hà Nội,Tây Hồ,Phường Bưởi,Đường Lạc Long Quân,42,,,,,5,6,,Have certificate,,6.8
Bình Dương,Thuận An,Phường An Phú,Dự án The Oasis,150,5,20,Bắc,,3,4,3,Have certificate,Full,6.1
Hồ Chí Minh,Tân Bình,Phường 12,Đường C18,80,,6,,,5,6,7,Have certificate,Basic,9.5
Hà Nội,Bắc Từ Liêm,Phường Liên Mạc,Đường Hoàng Liên,33,3.8,3,,,5,3,4,Have certificate,Basic,3
Đà Nẵng,Liên Chiểu,Phường Hòa Minh,Đường Bàu Năng 8,85,,,,,,,,,,6.5
Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Nguyễn Thị Kiểu,100,4,,,,3,3,4,Have certificate,Full,5.6
Hồ Chí Minh,Quận 4,#N/A,Phường 4,29,3.6,4,,,3,2,3,,,4.95
Bình Dương,Thuận An,Phường An Phú,Dự án The Oasis,180,10,20,Đông,Bắc,3,4,4,Have certificate,Full,9.5
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông,Đường Liên khu 10-11,176,8,,Nam,,,2,2,Have certificate,Basic,10
Hồ Chí Minh,Gò Vấp,Phường 4,Đường Lê Lai,56,6,6,,,4,4,5,Have certificate,Full,8.2
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,75,,20,,,5,,,Have certificate,,9.8
Khánh Hòa,Nha Trang,Phường Phước Tân,Đường Lạc Long Quân,38.7,,2.5,Đông - Nam,,3,3,,Have certificate,,3.2
Lâm Đồng.,Đà Lạt,Phường 8,Đường Trần Quang Khải,144,9,2.4,Đông - Bắc,,2,3,2,Have certificate,Full,7.5
Hồ Chí Minh,Quận 1,Phường Cầu Kho,Đường Võ Văn Kiệt,34.4,,,,,3,,,Have certificate,,5.7
Hà Nội,Tây Hồ,Phường Thụy Khuê,Ngõ 280,32,,,,,4,,,Have certificate,,5
Hồ Chí Minh,Thủ Đức,Phường Linh Đông,Đường Số 32,52,4.2,5,,,2,2,2,Have certificate,,4.8
Đồng Nai,Biên Hòa,Phường Hóa An,Đường Bùi Hữu Nghĩa,66,5.4,6,Nam,Tây,1,2,1,Have certificate,Basic,1.7
Hà Nội,Bắc Từ Liêm,Phường Đức Thắng,Đường Lê Văn Hiến,50,7,,,,,,,Have certificate,,7.65
Hồ Chí Minh,Quận 10,Phường 15,Đường Nguyễn Giản Thanh,64,,,,,2,,,Have certificate,,10
Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,40/10,80,5,15,Đông - Nam,Đông - Bắc,3,4,3,Have certificate,Basic,8.8
Hà Nội,Hoài Đức,Xã An Khánh,Đường Nam Yên Lũng,88,,,,,3,5,3,Have certificate,,10
Hồ Chí Minh,Quận 8,Phường 3,154,44,4,4,,,4,3,4,Have certificate,Full,6.1
Hà Nội.,Nam Từ Liêm,Phường Đại Mỗ,Đường Quang Tiến,33.5,,,,,5,,,,,5.65
Hồ Chí Minh,Quận 8,Phường 4,Đường Phạm Hùng,60,4,6,,,5,4,5,Have certificate,Full,9.9
Hà Nội,Thanh Trì,Xã Tam Hiệp,Đường Tựu Liệt,40,3.5,2,Đông - Bắc,Đông - Bắc,5,3,2,,,3.19
Hà Nội,Hoài Đức,#N/A,Xã An Khánh,51.2,4.22,,,,3,,,,,4.4
Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,Phố Cầu Cốc,35,,,,,5,,,Have certificate,,5.5
Hà Nội,Hoài Đức,#N/A,Xã An Khánh,35,4,3.2,,,5,,,,,3.9
Hà Nội,Chương Mỹ,Xã Phụng Châu,Đường Liên Xã,35,,,,,3,3,3,Have certificate,Basic,1.93
Hà Nội,Chương Mỹ,#N/A,Xã Phụng Châu,52,,,,,3,3,3,Have certificate,Full,2.7
Hà Nội,Hoài Đức,#N/A,Xã La Phù,36,,3,,,5,,,,,3.65
Hồ Chí Minh,Gò Vấp,Phường 17,Đường Nguyễn Oanh,88,,12,,,,,,,,6.9
Hồ Chí Minh,Quận 9,Phường Phước Bình,Đường 12,88,4,12,Bắc,Bắc,3,4,4,Have certificate,Full,9
Đà Nẵng,Ngũ Hành Sơn,Phường Mỹ An,Đường An Thượng 39,60,5,5.5,Tây,Tây,4,6,7,Have certificate,Full,9.9
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Tựu Liệt,30,5.6,2,Đông,Tây - Nam,4,4,3,Have certificate,Full,4.2
Hà Nội,Hà Đông,Phường Dương Nội,Đường Ỷ La,32,,,,,5,4,4,,,3.25
Hồ Chí Minh,Gò Vấp,Phường 8,Đường Cây Trâm,56,,5,,,2,2,3,Have certificate,,5.3
Hồ Chí Minh,Bình Tân,#N/A,Phường Bình Trị Đông B,65,,16,Đông,,4,5,5,Have certificate,,7.5
Hà Nội,Quốc Oai,#N/A,Xã Đại Thành,45,,4.5,,,3,3,3,,Full,2.75
Điện Biên,Thành phố Điện Biên Phủ,#N/A,Phường Mường Thanh,60,6,20,Đông - Nam,Tây - Bắc,4,4,3,Have certificate,Basic,1.56
Hồ Chí Minh,Bình Tân,#N/A,Phường An Lạc A,100,4,25,Tây,,1,2,1,Have certificate,,7.2
Hồ Chí Minh,Hóc Môn,Xã Thới Tam Thôn,Đường Tam Đông 12,74,5,5,,,2,2,3,Have certificate,Full,3.5
Hồ Chí Minh,Thủ Đức,Phường Bình Chiểu,Đường Ngô Chí Quốc,52,,,,,,1,1,,,1.3
Hà Nội,Hai Bà Trưng,Phường Thanh Lương,Đường Minh Khai,23,3.3,,,,4,2,3,Have certificate,Full,3.55
Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,Đường Bùi Văn Ba,80,5,,,,4,4,5,Have certificate,Full,7
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa A,Đường Miếu Gò Xoài,80,4,16,Bắc,Bắc,5,6,7,Have certificate,Full,8.8
Hồ Chí Minh,Bình Tân,#N/A,Phường An Lạc A,92,4,23,Tây,,3,5,6,Have certificate,,9.3
Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Phố Trần Cung,58,,3,,,5,9,9,Have certificate,Full,6.9
Hòa Bình,Lương Sơn,Xã Tân Vinh,Dự án Sunset Villas & Resort,300,,,,,,4,,Have certificate,,5.3
Đà Nẵng,Liên Chiểu,Phường Hòa Minh,Phố Phạm Đình Hổ,140,7,7.5,Đông - Nam,,3,5,4,,,7.5
Hồ Chí Minh,Tân Phú,Phường Tân Quý,Đường Gò Dầu,78,4,,,,3,6,,,,9.2
Hồ Chí Minh,Bình Thạnh,Phường 21,Hẻm 92,34,4,4,Tây - Nam,Tây - Nam,3,4,3,Have certificate,Full,5.09
Hải Phòng,Lê Chân,Phường Nghĩa Xá,Ngõ 261,95,4.91,,Đông - Nam,,,4,3,Have certificate,,5.85
Hồ Chí Minh,Bình Thạnh,Phường 5,Hẻm 357,31,,5,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,5.75
Thanh Hóa.,Thanh Hóa,Phường Quảng Thắng,Dự án Khu đô thị Xuân Hưng,60,5,5,Tây - Bắc,Đông - Bắc,4,3,3,Have certificate,,3
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa A,Đường Lê Văn Quới,56,4,8,Tây,Tây,,,,Have certificate,Full,7.2
Hồ Chí Minh,Bình Thạnh,Phường 15,Hẻm 57,42.1,6,,Đông - Nam,Đông - Nam,3,5,3,Have certificate,Full,6.7
Hồ Chí Minh,Bình Tân,Phường Tân Tạo A,Đường Nguyễn Văn Cự,71,5,5,Nam,Nam,4,4,5,Have certificate,,4.9
Hồ Chí Minh,Bình Thạnh,Phường 26,138,60,8,10,Đông,Đông,3,4,4,Have certificate,Basic,9.9
Hải Phòng,Ngô Quyền,Phường Vạn Mỹ,Đường Phương Lưu,40.2,,,,,,,,,,2.65
Hà Nội,Cầu Giấy,Phường Mai Dịch,Phố Doãn Kế Thiện,45,4,3,,,5,4,5,Have certificate,Full,8.95
Hồ Chí Minh,Quận 8,Phường 9,Đường Chánh Hưng,51,,,,,1,3,2,Have certificate,Basic,5.5
Hồ Chí Minh,Bình Tân,#N/A,Phường An Lạc A,52,4.6,11.2,Bắc,,4,4,3,Have certificate,,6.2
Hồ Chí Minh,Quận 4,Phường 3,Đường Khánh Hội,50,4,3,,,4,6,6,Have certificate,,6.2
Hồ Chí Minh,Quận 4,Phường 15,Đường Tôn Thất Thuyết,50,4.5,3,Đông,Đông,4,3,3,Have certificate,Basic,6.15
Hồ Chí Minh,Quận 4,Phường 8,Đường Tôn Đản,32.1,5,4,Tây - Nam,Tây - Nam,4,2,3,Have certificate,Basic,3.95
Hải Phòng,Hải An,#N/A,Phường Đằng Hải,45,11,3,Nam,,3,3,3,,,2.5
Bình Dương,Thuận An,Phường Thuận Giao,Đường Lê Thị Trung,65,,13,,,3,3,3,Have certificate,,2.85
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Tả Thanh Oai,36,,,,,4,4,5,Have certificate,Full,2.85
Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường Kinh Dương Vương,95,4,5,Đông - Bắc,,3,4,3,Have certificate,,5.95
Hà Nội,Hoàng Mai,Phường Thanh Trì,Đường Ngũ Nhạc,30,4,,,,4,3,,Have certificate,Full,4.15
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Ngõ 18,36,,,,,4,4,5,Have certificate,Full,2.95
Hà Nội,Huyện Thanh Trì,#N/A,Dự án Khu đô thị mới Đại Thanh,36,,,,,4,4,5,Have certificate,Full,2.85
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Thượng Phúc,34,,,,,4,3,4,Have certificate,Full,2.9
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,52,4,13,Tây - Nam,Tây - Nam,5,8,5,Sale contract,,6.3
Hồ Chí Minh,Tân Bình,Phường 11,Đường Lạc Long Quân,70,4.5,4,,,2,4,2,Have certificate,Basic,6.25
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60,4,13,Tây - Bắc,Tây - Nam,5,8,4,,,6.4
Thanh Hóa.,Thanh Hóa,Phường Đông Hải,Dự án Central Riverside Thanh Hóa,80,,,,,5,,,,,5.16
Đà Nẵng,Ngũ Hành Sơn,Phường Khuê Mỹ,Dự án Nam Cầu Tuyên Sơn-Nam Việt Á,125,5,7.5,Tây - Nam,,4,4,5,Have certificate,Full,6.85
Đà Nẵng,Sơn Trà,Phường Mân Thái,Đường Phan Bá Phiến,63,6,7.5,,,1,1,1,Have certificate,Full,4.5
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Ngõ 55,45,,,,,4,5,5,Have certificate,Full,2.9
Hồ Chí Minh,Tân Bình,Phường 15,Đường Phan Huy Ích,39,5.2,,,,,,,,,4.3
Bắc Ninh,Từ Sơn,Xã Phù Khê,Dự án KĐT Phù Khê,100,5,25,Bắc,Bắc,,,,Have certificate,,8.7
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Cầu Diễn,45,,,,,5,,,Have certificate,Full,8
Hà Nội,Thanh Trì,Xã Thanh Liệt,Thôn Văn,30,,,,,6,6,5,Have certificate,Full,4.2
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng A,40,,,,,5,6,5,Have certificate,Full,4.65
Bình Dương,Bàu Bàng,Thị trấn Lai Uyên,Dự án Thăng Long Central City,100,,,,,3,3,3,Have certificate,,1.95
Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,Đường Tây Mỗ,38,4.5,20,,,4,4,4,Have certificate,Basic,4.35
Đồng Nai,Biên Hòa,Phường Tân Hiệp,Đường Nguyễn Ái Quốc,60,5,,,,4,3,3,Have certificate,,3.98
Hồ Chí Minh,Quận 11,Phường 3,Đường Lạc Long Quân,40,,7,,,6,6,5,Have certificate,Full,7.8
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,90,,13,Đông - Bắc,,5,,,,,8.9
Hà Nội,Ba Đình,Phường Giảng Võ,Phố Giảng Võ,35,5,,,,5,5,4,Have certificate,Full,10
Đồng Nai,Biên Hòa,#N/A,Phường An Bình,90,5,,,,1,5,,Have certificate,,1.9
Hồ Chí Minh,Bình Thạnh,Phường 21,Đường Xô Viết Nghệ Tĩnh,52,6,6,Bắc,Bắc,2,4,4,Have certificate,Basic,7.2
Hải Phòng,Lê Chân,Phường Hàng Kênh,Ngõ Lý Tiêm,50,,3,Đông - Nam,,4,4,3,,,3.19
Đồng Nai,Biên Hòa,#N/A,Phường An Bình,115,,,,,,2,,,,3.9
Hà Nội,Thanh Trì,Xã Tam Hiệp,Đường Tựu Liệt,40,3.5,2,Đông,Nam,4,4,2,Have certificate,Full,3.19
Đà Nẵng,Cẩm Lệ,Phường Hòa An,Đường Nhơn Hòa 4,90,5,5.5,,,1,5,5,Have certificate,Full,3.2
Hồ Chí Minh,Quận 7,Phường Tân Phú,Đường Huỳnh Tấn Phát,160,6,6,,,1,5,5,Have certificate,Full,9.8
Hà Nội,Thanh Trì,Xã Tam Hiệp,Đường 70,33,3.42,3,Đông,Nam,5,5,4,Have certificate,Full,4.5
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Rosita Garden Khang Điền,132,6,20,Tây - Nam,Tây - Nam,3,3,3,Have certificate,,7.2
Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Đường Đền Lừ,55,,20,,,5,6,6,Have certificate,Full,9.8
Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Yên Hòa,50,4.5,,,,4,4,,Have certificate,Full,7.3
Hà Nội,Thanh Xuân,#N/A,Hạ Đình,22,3.6,,,,4,3,3,Have certificate,Full,3
Hà Nội,Thanh Trì,#N/A,Xã Tam Hiệp,40,3.3,5,Tây,Đông,5,4,4,Have certificate,Full,5.9
Đồng Nai,Biên Hòa,Phường Trảng Dài,Đường Đồng Khởi,96,4.8,20,,,2,3,2,Have certificate,Full,2.4
Đồng Nai,Biên Hòa,#N/A,Phường An Bình,120,5,,,,,3,,,,3.4
Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Nguyễn Văn Quỳ,80,4,6,,,4,5,5,Have certificate,Full,8.4
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,38,4.4,,,,4,3,4,Have certificate,Full,4.75
Đồng Nai,Biên Hòa,Phường Bửu Long,Đường Huỳnh Văn Nghệ,72,8,8,,,2,3,2,Have certificate,Full,1.75
Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,48,4,,,,5,,,Have certificate,Full,8.5
Hà Nội,Hà Đông,Phường Nguyễn Trãi,Đường Lê Lợi,30,,,,,5,3,4,Have certificate,Full,6.9
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng A,38,,,Bắc,,2,4,3,Have certificate,Full,2.5
Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Mễ Trì,31,10,,,,5,4,3,Have certificate,Full,7.95
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,40,,,,,4,5,5,Have certificate,Full,5.3
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Tựu Liệt,33,3.5,2,Đông - Nam,Tây,4,3,3,Have certificate,Full,3.55
Hải Phòng,Thủy Nguyên,Xã Thủy Đường,Dự án Sapphire Gem Hải Phòng,110,5,15,Nam,Nam,3,4,5,Sale contract,,5.5
Bình Dương,Bến Cát,Phường Chánh Phú Hòa,Đường NF4,300,,,,,4,5,5,Have certificate,,6.5
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,44,,,Bắc,,2,4,3,Have certificate,Full,2.5
Hồ Chí Minh,Tân Bình,Phường 3,Đường Phạm Văn Hai,39.4,,,,,4,4,4,Have certificate,Full,7.2
Hà Nội,Ba Đình,Phường Kim Mã,Đường Nguyên Hồng,50,,,,,6,7,5,Have certificate,,10
Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng A,35,,,,,4,6,4,Have certificate,Full,5.5
Hà Nội,Thanh Trì,Xã Tam Hiệp,Đường Tựu Liệt,40,3.5,2,Đông,Đông,3,4,3,Have certificate,Full,2.95
Khánh Hòa,Nha Trang,Phường Phước Hải,Đường Đồng Nai,92,4,10,Đông - Bắc,,6,5,7,Have certificate,,8.5
Hải Phòng,Thủy Nguyên,Xã Thủy Đường,Dự án Sapphire Gem Hải Phòng,110,5,15,Nam,Nam,3,4,5,Sale contract,,5.55
Hải Phòng,Lê Chân,Phường Cát Dài,Đường Cát Dài,60,,,Tây,Tây,4,4,4,Have certificate,Basic,4.69
Đồng Nai,Biên Hòa,#N/A,Phường An Bình,98,,,,,2,3,2,Have certificate,,2.55
Bà Rịa Vũng Tàu,Vũng Tàu,Phường 12,Dự án La Vida Residences,77.5,,,,,4,4,5,,,4.57
Bình Dương,Thủ Dầu Một,Phường Tương Bình Hiệp,Đường Hồ Văn Cống,120,,,Đông - Nam,,2,3,3,Have certificate,Basic,2.5
Hà Nội.,Nam Từ Liêm,#N/A,Phường Đại Mỗ,39,,,Đông - Nam,,3,,,,,3.6
Hồ Chí Minh,Gò Vấp,Phường 15,Đường Lê Đức Thọ,77,,12,,,4,4,5,Have certificate,Full,9
Hà Nội,Hoài Đức,Xã Vân Canh,Đường Tỉnh Lộ 422B,30,5,4,Nam,Nam,5,3,4,Have certificate,Full,4.1
Hồ Chí Minh,Bình Thạnh,Phường 25,Đường Xô Viết Nghệ Tĩnh,66,,,,,2,,,Have certificate,Full,9.2
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,62.5,,,Đông - Nam,,5,5,,,,6.9
Hà Nội,Hà Đông,#N/A,Phường Phú Lương,45,3.42,2,Đông - Nam,Đông - Nam,5,6,4,Have certificate,Basic,4.5
Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,Đường Nguyễn Ảnh Thủ,59,,5,Tây - Bắc,Tây - Bắc,2,,,,,3.69
Hồ Chí Minh,Quận 11,Phường 5,Đường Cư xá Phú Thọ Hòa,64,4,,,,,,,Have certificate,,7.5
Hồ Chí Minh,Quận 8,Phường 3,Đường Âu Dương Lân,43,4,4,,Tây,4,3,4,Have certificate,Basic,6.4
Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,Đường Tân Chánh Hiệp,64,,,,,1,2,1,Have certificate,,3.2
Hồ Chí Minh,Nhà Bè,Thị trấn Nhà Bè,Hẻm 2155,30,,,,,2,2,2,Have certificate,,2.39
Hà Nội,Hoàng Mai,Phường Thanh Trì,194,26,,,,,4,3,3,Have certificate,Basic,3.95
Hà Nội,Ba Đình,Phường Liễu Giai,Ngõ 189,86,5.5,3,,,3,6,3,Have certificate,Full,9.5
Hồ Chí Minh,Gò Vấp,Phường 6,Đường Số 27,20,5,3,Đông - Bắc,Đông - Bắc,1,1,2,Have certificate,Full,2.05
Hồ Chí Minh,Gò Vấp,Phường 17,Đường Nguyễn Văn Lượng,35.7,5.1,5,,,3,2,2,Have certificate,Full,4.15
Đà Nẵng,Cẩm Lệ,Phường Hòa Xuân,Đường Bùi Thiện Ngộ,100,5,7.5,Đông - Bắc,Đông - Bắc,3,4,4,Have certificate,Full,6.2
Đồng Nai,Biên Hòa,#N/A,Phường Tân Hiệp,100,,,,,,2,1,Have certificate,,3.1
Hà Nội,Thanh Trì,Xã Thanh Liệt,Đường Kim Giang,55,6,,Đông,,5,3,4,Have certificate,Full,6.9
Đà Nẵng,Thanh Khê,Phường Tân Chính,K285/28A Lê Duẩn,40,,2,Bắc,,3,2,2,,,2.83
Hà Nội,Hoàng Mai,Phường Định Công,Ngõ 151,33,,,,,4,,,,,4.1
Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Thạnh Lộc 37,60,5,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.85
Đà Nẵng,Thanh Khê,Phường Chính Gián,Đường Lê Độ,43,,,,,4,2,,,,3.33
Hà Nội,Long Biên,Phường Thạch Bàn,Ngõ 68/79,40,4.79,,,,5,5,,,,5.2
Hồ Chí Minh,Nhà Bè,Xã Long Thới,Đường Nguyễn Văn Tạo,85,,12,,,2,3,3,Have certificate,,4.7
Gia Lai,Plei Ku,Phường Trà Bá,Đường Hàn Mặc Tử,80,4.5,,Tây - Bắc,Tây - Bắc,2,3,3,Have certificate,Full,2.35
Bắc Ninh,Từ Sơn,Phường Phù Chẩn,Dự án Centa Riverside,180,9,15,Nam,Nam,3,4,5,Have certificate,,9.84
Hà Nội,Hai Bà Trưng,Phường Trương Định,Đường Trương Định,57,,,,,,3,3,Have certificate,Full,6.1
Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Đường Hoàng Mai,42,6,10,,,3,3,,Have certificate,Full,7.5
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Ruby,86,5.5,20,Nam,Nam,3,4,4,Have certificate,,9.49
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Ruby,82.6,5,20,Tây,Tây,3,4,3,Have certificate,Full,9.3
Hồ Chí Minh,Thủ Đức,Phường Linh Xuân,Đường Quốc lộ 1K,56.5,5,4,,,3,3,3,Have certificate,Full,5.35
Đồng Nai,Biên Hòa,Phường Tân Phong,Đường Đồng Khởi,100,10,6,,,2,3,2,Have certificate,Full,2
Hà Nội,Đống Đa,Phường Thịnh Quang,Đường Thịnh Quang,38,3.8,2.5,,,5,6,4,Have certificate,Full,6.9
Bình Dương,Bến Cát,Phường Thới Hòa,Dự án Mỹ Phước 3,150,5,8,,,2,3,2,Have certificate,,2.18
Đà Nẵng,Ngũ Hành Sơn,Phường Khuê Mỹ,Đường Trần Hoành,107,5,5,Đông,,1,1,1,Have certificate,,3.3
Thanh Hóa.,Thanh Hóa,Phường Quảng Thắng,Dự án Khu đô thị Xuân Hưng,60,5,7.5,Tây - Bắc,Tây - Bắc,,,,Have certificate,Basic,3.1
Hồ Chí Minh,Gò Vấp,Phường 5,Đường Trần Bá Giao,60,4,8,Đông - Bắc,,2,3,2,Have certificate,,7.8
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Village,90,7.5,20,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,8.5
Hồ Chí Minh,Gò Vấp,Phường 12,Đường Bùi Quang Là,57.7,,10,,,4,4,5,Have certificate,,7.49
Đồng Nai,Biên Hòa,#N/A,Phường Bình Đa,148,6.3,,,,,2,1,Have certificate,,5.19
Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Đê La Thành,50,4,2.5,,,5,7,5,Have certificate,,7
Hồ Chí Minh,Tân Bình,Phường 14,Đường Đồng Đen,56.12,4.1,8,,,4,4,4,Have certificate,Full,8.2
Hà Nội,Hoàng Mai,Phường Tân Mai,Đường Trương Định,53,4,,,,4,4,4,Have certificate,Full,7.5
