Province,District,Ward,Road,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Thượng Phúc,45.0,,,,,4.0,4.0,,Have certificate,,3.1
Hồ Chí Minh,Quận 8,Phường 15,Hẻm 17,60.0,4.0,4.0,Nam,Nam,2.0,3.0,2.0,Have certificate,Basic,4.05
Hồ Chí Minh,Gò Vấp,Phường 1,Đường Lê Quang Định,75.0,4.0,4.0,Đông - Nam,Đông - Nam,4.0,6.0,7.0,Have certificate,Full,7.5
Hà Nội,Cầu Giấy,Phường Mai Dịch,Ngõ 105,42.0,4.2,3.0,,,4.0,4.0,4.0,Have certificate,Full,7.7
Hồ Chí Minh,Bình Chánh,Xã Bình Hưng,Đường Phạm Hùng,153.0,9.0,6.0,,,1.0,1.0,1.0,,,9.0
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Đường Gò Cát,52.0,5.0,5.0,,,3.0,3.0,3.0,Have certificate,Full,4.5
Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Đường Trường Chinh,67.0,,,,,3.0,5.0,,,,5.85
Hải Phòng,Thủy Nguyên,Xã Dương Quan,Dự án Centa City Hải Phòng,75.0,5.0,12.0,,,3.0,4.0,4.0,Have certificate,,3.5
Hà Nội,Hai Bà Trưng,Phường Trương Định,Đường Trương Định,36.0,3.5,4.0,,,4.0,3.0,3.0,Have certificate,,5.35
Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Đường Tô Ngọc Vân,50.1,,7.0,Tây - Nam,,4.0,4.0,5.0,Have certificate,Basic,5.25
Hà Nội,Long Biên,Phường Bồ Đề,Phố Hồng Tiến,40.0,,,,,6.0,,,,,9.25
Hồ Chí Minh,Nhà Bè,Xã Nhơn Đức,Đường Lê Văn Lương,134.1,,,,,3.0,3.0,3.0,Have certificate,Basic,5.5
Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Đường Thạnh Xuân 22,64.0,,10.0,Tây - Bắc,Tây - Bắc,5.0,7.0,6.0,Have certificate,Full,4.8
Kiên Giang,Phú Quốc,Phường An Thới,Dự án Boutique Shophouse Melodia,105.0,,,,,5.0,,,,,7.0
Hà Nội,Hoài Đức,Xã La Phù,Đường Lê Trọng Tấn,35.0,4.0,3.5,Đông - Nam,,5.0,4.0,4.0,Have certificate,Basic,3.35
Hà Nội,Đống Đa,Phường Láng Thượng,Phố Chùa Láng,40.0,4.0,3.0,Đông - Bắc,Đông - Bắc,5.0,3.0,4.0,Have certificate,Full,6.4
Hà Nội,Long Biên,Phường Đức Giang,Đường Ngô Gia Tự,79.0,4.36,,,,4.0,3.0,3.0,Have certificate,Full,6.8
Khánh Hòa,Nha Trang,Xã Vĩnh Hiệp,Đường 23/10,127.0,9.0,4.0,,,3.0,4.0,4.0,Have certificate,Basic,2.9
Hồ Chí Minh,Tân Bình,Phường 6,Đường Nghĩa Phát,72.0,4.1,5.0,,,4.0,4.0,5.0,Have certificate,Full,9.5
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa,Đường Hương Lộ 3,64.0,4.0,,,,2.0,2.0,3.0,Have certificate,Full,4.9
Hà Nội,Hoài Đức,,Xã Đông La,33.0,,,,,4.0,,,Have certificate,Basic,2.7
Hồ Chí Minh,Gò Vấp,Phường 4,Hẻm 300,52.0,,,,,3.0,3.0,4.0,Have certificate,Full,5.9
Khánh Hòa,Nha Trang,Phường Vạn Thắng,Đường 2/4,162.0,6.0,2.0,Tây - Nam,,,2.0,2.0,Have certificate,,3.5
Hà Nội,Thanh Xuân,Phường Khương Đình,Phố Khương Hạ,36.0,4.0,3.0,,,6.0,4.0,4.0,Have certificate,Basic,8.3
Hồ Chí Minh,Quận 8,Phường 16,Đường An Dương Vương,48.0,4.0,8.0,,,3.0,3.0,3.0,Have certificate,Basic,5.5
Long An,Đức Hòa,Thị trấn Hậu Nghĩa,Dự án Imperia Grand Plaza Đức Hòa,110.0,5.0,,,,3.0,,,,,8.5
Hồ Chí Minh,Phú Nhuận,Phường 8,Đường Nguyễn Trọng Tuyển,50.0,4.3,,,,2.0,3.0,2.0,,,5.5
Hồ Chí Minh,Quận 6,Phường 7,Đường Bình Tiên,48.0,6.0,5.0,,,3.0,4.0,3.0,,Full,4.7
Hồ Chí Minh,Quận 8,Phường 12,Đường Nguyễn Chế Nghĩa,62.0,5.7,,,,4.0,3.0,3.0,Have certificate,Full,8.5
Hồ Chí Minh,Quận 7,Phường Tân Quy,Đường Số 2,70.0,,,,,2.0,3.0,2.0,Have certificate,Basic,6.5
Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Nguyễn Ngọc Vũ,55.0,5.0,,,,5.0,4.0,,Have certificate,Full,9.9
Hà Nội,Quốc Oai,,Xã Đại Thành,80.0,,,,,4.0,4.0,4.0,Have certificate,Basic,3.9
Hà Nội,Hai Bà Trưng,Phường Trương Định,Ngõ 158,36.0,3.6,2.3,,,4.0,3.0,4.0,Have certificate,Full,5.3
Hưng Yên,Văn Giang,Xã Long Hưng,Dự án The Empire - Vinhomes Ocean Park 2,105.0,7.0,13.0,,,,,,Have certificate,,9.9
Hồ Chí Minh,Thủ Đức,,Phường Linh Trung,130.0,,12.0,,,,,,Have certificate,Full,9.5
Hà Nội,Hà Đông,Phường Văn Quán,Đường Chiến Thắng,34.0,,,,,5.0,3.0,4.0,,,8.0
Hà Nội,Hai Bà Trưng,Phường Thanh Nhàn,Phố Lê Thanh Nghị,39.0,4.0,4.0,,,5.0,,,Have certificate,,5.75
Hồ Chí Minh,Tân Phú,Phường Sơn Kỳ,Đường Bờ Bao Tân Thắng,59.7,,5.0,Nam,,3.0,3.0,4.0,Have certificate,Full,5.65
Hồ Chí Minh,Tân Phú,Phường Tân Thành,Đường Bác Ái,72.0,4.2,,,,3.0,4.0,3.0,Have certificate,Full,9.2
Hồ Chí Minh,Tân Phú,Phường Phú Thạnh,Đường Thoại Ngọc Hầu,100.0,,12.0,,,,1.0,1.0,Have certificate,,8.3
Hà Nội,Ba Đình,Phường Phúc Xá,Đường Phúc Xá,32.0,3.2,5.0,,,4.0,4.0,3.0,Have certificate,Full,7.5
Hồ Chí Minh,Bình Tân,,Phường Bình Hưng Hòa,58.0,4.0,6.0,,,3.0,3.0,3.0,Have certificate,Basic,4.5
Quảng Ngãi,Quảng Ngãi,Phường Nghĩa Lộ,Đường Trường Chinh,100.0,5.0,,Đông,,1.0,3.0,,Have certificate,,1.59
Bình Thuận,Phan Thiết,Phường Phú Thủy,Đường Đặng Thị Nhu,95.0,6.7,,Tây - Nam,,,2.0,,Have certificate,,4.1
Hồ Chí Minh,Gò Vấp,Phường 11,Đường Nguyễn Văn Khối,57.0,,,,,4.0,4.0,5.0,Have certificate,Full,5.6
Hưng Yên,Văn Giang,Xã Nghĩa Trụ,Dự án The Crown - Vinhomes Ocean Park 3,60.0,7.0,17.0,Đông - Nam,Đông - Nam,,,,Have certificate,Basic,7.5
Hà Nội,Hai Bà Trưng,Phường Minh Khai,Đường Minh Khai,33.0,,10.0,Tây - Bắc,,6.0,4.0,4.0,Have certificate,Full,7.0
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông A,Đường Chiến Lược,72.0,,,,,2.0,3.0,2.0,Have certificate,,4.5
Đồng Nai,Biên Hòa,KP2 Phường Trảng Dài,Đường Bùi Trọng Nghĩa,100.0,4.0,12.0,Tây,Tây,3.0,4.0,4.0,Have certificate,,8.0
Hồ Chí Minh,Nhà Bè,Thị trấn Nhà Bè,2174,32.0,4.0,4.0,Đông - Nam,Đông - Nam,3.0,4.0,3.0,Have certificate,Full,3.6
Bình Dương,Thủ Dầu Một,Phường Hiệp An,Đường DX 094,92.6,,6.0,,,1.0,3.0,2.0,Have certificate,Basic,2.5
Đắk Lắk,Buôn Ma Thuột,Phường Tân An,Đường Hàn Mặc Tử,240.0,,,,,,,,,,9.9
Hồ Chí Minh,Phú Nhuận,Phường 4,Đường Nguyễn Kiệm,62.0,4.0,6.0,,,2.0,4.0,2.0,Have certificate,Full,8.7
Hồ Chí Minh,Bình Tân,Phường Bình Trị Đông,Đường Chiến Lược,55.0,4.0,8.0,,,2.0,,,Have certificate,,5.5
Khánh Hòa,Nha Trang,Phường Vĩnh Nguyên,Đường Dã Tượng,77.0,4.5,6.0,,,2.0,,,Have certificate,,5.4
Long An,Đức Hòa,,Xã Đức Hoà Hạ,245.0,,10.0,,,,,,Have certificate,Basic,3.5
Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Vương Thừa Vũ,50.0,9.7,8.0,,,4.0,4.0,3.0,Have certificate,Full,8.0
Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Bùi Xương Trạch,31.0,4.0,3.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,,Full,5.7
Bình Dương,Thuận An,Phường Thuận Giao,Dự án Legacy Prime,100.0,,,,,,1.0,1.0,Sale contract,Basic,4.5
Hồ Chí Minh,Bình Tân,,Phường Bình Hưng Hòa B,37.0,3.7,7.0,Bắc,Bắc,3.0,5.0,3.0,Have certificate,Full,2.78
Hải Phòng,Hồng Bàng,Phường Hạ Lý,Đường Bạch Đằng,50.0,4.4,25.0,,,3.0,3.0,3.0,Have certificate,Basic,8.5
Hồ Chí Minh,Thủ Đức,Phường Linh Xuân,Đường 8,68.0,5.0,12.0,,,2.0,2.0,,,Basic,3.9
Hồ Chí Minh,Quận 9,Phường Phước Long B,Đường Đỗ Xuân Hợp,120.0,10.0,,,,2.0,3.0,,,,7.8
Đà Nẵng,Thanh Khê,Phường An Khê,Đường Lý Triện,105.0,5.0,15.5,Tây - Bắc,Tây - Bắc,2.0,3.0,2.0,Have certificate,Basic,5.75
Hà Nội,Thanh Trì,Xã Tân Triều,Đường Triều Khúc,30.0,3.5,,,,5.0,3.0,,Have certificate,Full,4.98
Đà Nẵng,Sơn Trà,Phường An Hải Đông,Đường Lương Thế Vinh,94.0,5.0,4.0,,,2.0,3.0,2.0,Have certificate,Full,3.7
Đồng Nai,Biên Hòa,Phường Bửu Hòa,Đường Bùi Hữu Nghĩa,72.0,,8.0,,,4.0,4.0,4.0,Have certificate,Basic,5.6
Đồng Nai.,Biên Hòa,Phường Bửu Long,Đường Huỳnh Văn Nghệ,100.0,,8.0,,,2.0,3.0,2.0,Have certificate,Basic,2.39
Hồ Chí Minh,Quận 12,Phường An Phú Đông,Đường An Phú Đông 1,52.5,4.0,5.0,Tây - Bắc,Tây - Bắc,3.0,4.0,3.0,Have certificate,Basic,5.2
Hồ Chí Minh,Tân Phú,Phường Phú Thọ Hòa,Đường Thoại Ngọc Hầu,50.0,4.0,8.0,Đông,Đông,3.0,3.0,3.0,Have certificate,,4.0
Đồng Nai,Vĩnh Cửu,,Xã Thạnh Phú,110.0,,,,,2.0,3.0,2.0,Have certificate,Full,1.9
Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Trần Khát Chân,50.0,,,,,4.0,4.0,4.0,Have certificate,Full,6.89
Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Nguyễn Trãi,44.0,5.5,,,,5.0,3.0,3.0,Have certificate,,5.85
Hồ Chí Minh,Gò Vấp,Phường 12,Đường Quang Trung,55.0,4.2,5.0,,,5.0,,,Have certificate,Full,7.49
Hồ Chí Minh,Quận 4,Phường 16,Đường Đoàn Văn Bơ,44.0,4.0,2.0,,,2.0,2.0,2.0,Have certificate,Full,5.1
Hà Nội,Hai Bà Trưng,Phường Bách Khoa,Phố Tạ Quang Bửu,40.0,,,,,4.0,,,Have certificate,,6.78
Khánh Hòa,Nha Trang,,Phường Ngọc Hiệp,122.2,6.36,2.6,,,1.0,3.0,2.0,Have certificate,Full,3.1
Hà Nội,Chương Mỹ,,Xã Phụng Châu,51.0,4.0,5.0,,,4.0,4.0,3.0,Have certificate,Basic,2.7
Hải Phòng,Hồng Bàng,Phường Hạ Lý,Royal River City,75.0,,,,,5.0,,,Have certificate,,8.5
Hồ Chí Minh,Quận 7,Phường Tân Quy,Đường 15,35.0,10.2,3.0,Tây,Tây,2.0,3.0,3.0,Have certificate,,4.5
Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,Đường Dương Thị Mười,55.0,4.0,7.0,,,1.0,2.0,1.0,Have certificate,,3.95
Hà Nội,Thanh Xuân,Phường Khương Đình,Ngõ 1,39.0,,,,,5.0,9.0,9.0,Have certificate,Full,7.5
Hà Nội,Hoàng Mai,Phường Giáp Bát,Đường Kim Đồng,50.0,5.0,8.0,,,5.0,,,Have certificate,,9.0
Hồ Chí Minh,Bình Tân,Phường An Lạc A,Đường 1A,60.0,,,,,3.0,,,Have certificate,,6.4
Hồ Chí Minh,Quận 8,Phường 4,Đường Đặng Thúc Liêng,58.0,3.73,,Bắc,,2.0,2.0,2.0,Have certificate,,7.6
Hồ Chí Minh,Quận 9,Phường Long Trường,Đường Võ Văn Hát,52.0,4.0,7.0,,,2.0,2.0,2.0,Have certificate,Basic,3.85
Hồ Chí Minh,Bình Thạnh,Phường 5,Đường Nơ Trang Long,43.0,4.0,,,,2.0,2.0,2.0,Have certificate,Full,4.1
Hồ Chí Minh,Gò Vấp,Phường 13,Đường Lê Đức Thọ,45.0,4.5,5.0,Tây - Bắc,,4.0,4.0,3.0,,,6.2
Hải Phòng,An Dương,Xã Nam Sơn,Đường Lương Quán,60.0,,3.0,Nam,Nam,3.0,3.0,3.0,,Basic,1.87
Hồ Chí Minh,Bình Thạnh,Phường 26,685/84,56.0,,8.0,,,3.0,4.0,4.0,Have certificate,,9.5
Hồ Chí Minh,Gò Vấp,Phường 6,Đường Dương Quảng Hàm,68.0,,6.0,,,5.0,5.0,6.0,,,7.9
Hồ Chí Minh,Gò Vấp,Phường 16,Đường Nguyễn Văn Lượng,62.0,4.0,8.0,Đông,,3.0,4.0,,Have certificate,Full,7.39
Đà Nẵng,Sơn Trà,Phường An Hải Bắc,Đường An Cư,56.0,4.0,5.5,Bắc,,4.0,3.0,3.0,Have certificate,,6.5
Hồ Chí Minh,Tân Bình,Phường 5,Đường Cách Mạng Tháng Tám,86.0,,,,,4.0,4.0,4.0,Have certificate,,8.9
Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,Đường Nguyễn Thị Kiểu,52.0,4.0,,Tây - Nam,Tây - Nam,3.0,3.0,2.0,Have certificate,Basic,4.3
Hà Nội,Đống Đa,Phường Nam Đồng,Đường Hồ Đắc Di,42.0,5.0,2.5,,,6.0,6.0,5.0,Have certificate,Full,7.9
Hòa Bình,Hòa Bình,Phường Phương Lâm,Đường Cù Chính Lan,62.0,4.0,6.0,,,3.0,3.0,2.0,Have certificate,Basic,6.7
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa A,Đường Lê Văn Quới,52.0,4.2,4.0,Tây,Tây,2.0,3.0,2.0,Have certificate,Full,4.1
Hà Nội,Hoài Đức,Xã Kim Chung,Lai Xá,33.0,,,,,5.0,3.0,,Have certificate,Full,5.1
Hồ Chí Minh,Bình Thạnh,Phường 11,Đường Nguyên Hồng,52.0,,,,,3.0,3.0,3.0,Have certificate,Full,5.69
Hà Nội,Thanh Oai,Xã Bích Hòa,Đường 21B,35.0,,,,,4.0,3.0,3.0,Have certificate,Basic,2.45
Hồ Chí Minh,Bình Chánh,Xã Phong Phú,Dự án Lovera Park,75.0,5.0,12.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,,,5.5
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa,Đường Số 16,44.0,4.0,4.0,,,2.0,2.0,2.0,,,3.7
Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường Lê Cơ,523.5,11.0,10.0,,,1.0,,,,,7.0
Hà Nội.,Nam Từ Liêm,Phường Trung Văn,Đường Trung Văn,65.0,4.0,6.0,,,3.0,3.0,3.0,Have certificate,Full,9.75
Hồ Chí Minh,Bình Thạnh,Phường 26,Đường Xô Viết Nghệ Tĩnh,38.0,,8.0,Nam,,2.0,3.0,2.0,,Full,4.9
Hồ Chí Minh,Gò Vấp,Phường 16,Đường Số 4,47.0,4.0,5.0,,,2.0,2.0,2.0,Have certificate,Full,5.2
Hà Nội,Ba Đình,Phường Liễu Giai,Đường Hoàng Hoa Thám,36.0,,,,,3.0,3.0,3.0,Have certificate,,4.3
Hồ Chí Minh,Quận 7,Phường Tân Hưng,Đường Trần Xuân Soạn,68.0,,,,,1.0,2.0,1.0,,Basic,8.8
Bình Dương,Thuận An,Phường Bình Hòa,Đường 434,150.4,,,Nam,,,,,Have certificate,,4.2
Hà Nội,Đống Đa,Phường Ngã Tư Sở,Đường Trường Chinh,35.0,3.8,,,,5.0,3.0,3.0,Have certificate,,6.5
Bình Dương,Dĩ An,Phường Tân Đông Hiệp,Đường Đoàn Thị Kia,48.0,4.5,5.0,Tây - Nam,Tây - Nam,2.0,3.0,2.0,,Full,1.64
Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Hiệp Thành 42,38.8,4.0,6.0,Đông - Bắc,Đông - Bắc,2.0,2.0,2.0,Have certificate,Full,3.59
Hồ Chí Minh,Quận 8,Phường 1,Đường Dương Bá Trạc,96.0,8.0,5.0,,,2.0,5.0,3.0,Have certificate,,5.9
Hồ Chí Minh,Tân Bình,Phường 10,Đường Ni Sư Huỳnh Liên,50.0,,,,,3.0,3.0,3.0,Have certificate,,4.78
Hà Nội,Hai Bà Trưng,Phường Bạch Mai,Phố Hồng Mai,45.0,3.5,,,,4.0,4.0,4.0,Have certificate,Full,9.3
Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,Đường 160,60.2,5.2,6.0,Tây - Nam,,3.0,4.0,3.0,Have certificate,Full,6.0
Hà Nội,Hà Đông,Phường Văn Quán,Đường Trần Phú,35.0,3.6,,,,5.0,3.0,4.0,Have certificate,Full,5.6
Hà Nội,Hà Đông,,Phường Yên Nghĩa,41.0,,,,,4.0,5.0,3.0,Have certificate,,3.6
Hà Nội,Hà Đông,Phường Hà Cầu,Đường Quang Trung,40.0,,,,,,,,Have certificate,Basic,7.0
Hà Nội,Hoàng Mai,Phường Thịnh Liệt,Đường Bờ Sông Sét,48.0,3.5,7.0,Đông - Nam,Đông - Nam,4.0,3.0,4.0,Have certificate,,8.48
Hồ Chí Minh,Gò Vấp,Phường 6,1/,80.0,4.0,7.0,,,4.0,4.0,5.0,Have certificate,,9.0
Hồ Chí Minh,Tân Bình,Phường 1,Đường Nguyễn Trọng Tuyển,50.0,,,,,3.0,2.0,3.0,Have certificate,Basic,9.5
Hồ Chí Minh,Tân Bình,Phường 14,481/36,45.0,,,,,,4.0,5.0,,,6.6
Hà Nội,Hai Bà Trưng,Phường Bạch Mai,Phố Hồng Mai,30.0,,,,,4.0,4.0,3.0,Have certificate,Basic,4.2
Hà Nội,Bắc Từ Liêm,Phường Liên Mạc,đường Liên Mạc,45.0,6.9,10.0,Tây - Bắc,Tây - Bắc,5.0,8.0,9.0,Have certificate,Basic,4.8
Hồ Chí Minh,Quận 7,Phường Phú Thuận,Đường Huỳnh Tấn Phát,108.0,7.0,3.0,Đông - Bắc,Đông - Bắc,1.0,2.0,2.0,Have certificate,Full,5.5
Đà Nẵng,Liên Chiểu,Phường Hòa Minh,Đường Hòa Minh 3,72.0,5.0,5.5,Tây - Nam,,2.0,3.0,2.0,Have certificate,Basic,3.35
Bình Dương,Dĩ An,Phường Đông Hòa,Phố Hai Bà Trưng,60.0,,10.0,,,2.0,,,Have certificate,Full,3.35
Hồ Chí Minh,Quận 10,Phường 1,Đường Lê Hồng Phong,33.0,,,,,5.0,3.0,5.0,Have certificate,,8.0
Hồ Chí Minh,Quận 11,Phường 1,Hẻm 708,66.0,,,,,3.0,,,Have certificate,Full,6.9
Hà Nội,Thanh Xuân,Phường Thượng Đình,Ngõ 73,56.0,,,,,4.0,4.0,3.0,Have certificate,Full,8.44
Đà Nẵng,Hải Châu,Phường Hải Châu I,Đường Trần Phú,95.0,5.0,2.5,Đông,,1.0,3.0,1.0,Have certificate,,4.0
Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường 17,64.0,4.0,5.0,,,3.0,3.0,4.0,Have certificate,Basic,7.3
Hà Nội,Long Biên,Phường Long Biên,Ngõ 206,34.0,5.5,3.0,Bắc,Bắc,5.0,3.0,4.0,Have certificate,Full,4.6
Hà Nội,Đông Anh,,Xã Vân Hà,63.0,5.0,4.0,Nam,,3.0,3.0,3.0,Have certificate,Basic,3.1
Hồ Chí Minh,Gò Vấp,Phường 16,Đường Số 2,40.0,,3.0,,,2.0,2.0,2.0,Have certificate,Basic,3.6
Hồ Chí Minh,Tân Phú,Phường Tây Thạnh,Đường Nguyễn Hữu Tiến,72.0,4.52,6.0,Đông - Nam,Đông - Nam,,,,,,7.2
Đà Nẵng,Liên Chiểu,Phường Hòa Minh,Đường Hoà Phú 28,92.0,5.0,7.5,Tây - Nam,,3.0,3.0,4.0,Have certificate,Full,6.95
Hà Nội,Thanh Trì,Xã Tam Hiệp,Đường 70,33.0,3.42,3.0,Đông,Nam,5.0,5.0,4.0,Have certificate,Full,4.5
Hồ Chí Minh,Quận 2,Phường Bình Trưng Tây,Đường Số 5,101.0,5.0,5.0,Tây - Nam,Tây - Nam,1.0,2.0,2.0,Have certificate,,5.7
Hà Nội,Long Biên,Phường Thượng Thanh,Ngõ 97,152.0,5.6,4.0,,,3.0,,,Have certificate,,8.1
Bình Dương,Tân Uyên,Phường Uyên Hưng,Đường Tố Hữu,72.0,3.6,,,,2.0,3.0,2.0,Have certificate,Basic,1.9
Hà Nội.,Hoài Đức,,Xã Tiền Yên,49.4,,,,,3.0,3.0,3.0,Have certificate,Basic,3.0
Hồ Chí Minh,Nhà Bè,Xã Phước Kiển,Đường Phạm Hữu Lầu,128.0,5.5,6.0,,,1.0,3.0,3.0,Have certificate,Full,6.9
Bình Dương,Thuận An,Phường Thuận Giao,Dự án Lộc Phát Residence,80.0,5.0,12.0,Tây,,3.0,3.0,4.0,Have certificate,Full,4.8
Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Lĩnh Nam,54.0,,,,,,5.0,,Have certificate,Basic,7.5
Hà Nội,Long Biên,Phường Việt Hưng,Phố Việt Hưng,65.0,5.1,5.0,Bắc,Bắc,4.0,4.0,4.0,,Basic,9.8
Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,55.0,4.0,,,,4.0,3.0,,Have certificate,,8.5
Hồ Chí Minh,Bình Thạnh,Phường 12,Đường Chu Văn An,53.0,5.0,12.0,Đông,Đông,4.0,4.0,5.0,Have certificate,Full,9.4
Hà Nội,Cầu Giấy,Phường Mai Dịch,Phố Doãn Kế Thiện,23.0,,,,,,,,,,7.8
Hà Nội,Tây Hồ,Phường Phú Thượng,Đường An Dương,102.0,8.0,,Nam,,4.0,,,Have certificate,,10.0
Hồ Chí Minh,Gò Vấp,Phường 11,Đường Lê Văn Thọ,36.0,,3.0,Tây,,2.0,2.0,2.0,,,3.9
Hồ Chí Minh,Quận 9,Phường Phú Hữu,Dự án Mega Ruby,82.6,5.0,20.0,Tây,Tây,3.0,4.0,3.0,Have certificate,Full,9.3
Hồ Chí Minh,Gò Vấp,Phường 8,1050/,72.0,4.5,5.0,,,4.0,5.0,6.0,Have certificate,Full,7.75
Hưng Yên,Văn Giang,Xã Cửu Cao,Dự án Vaquarius Văn Giang,90.0,6.0,,,,5.0,,,,,9.3
Bình Dương,Thuận An,Phường Bình Hòa,Đường Nguyễn Du,84.0,,5.0,,,,6.0,,Have certificate,,2.8
Bình Dương,Thủ Dầu Một,Phường Phú Hòa,Dự án Uni-town,100.0,,,,,,,,,,5.5
Hà Nội,Đống Đa,Phường Nam Đồng,Đường Nam Đồng,30.0,,,,,,,,,,5.3
Hồ Chí Minh,Bình Thạnh,Phường 13,111/8/2B,67.5,,,,,3.0,4.0,4.0,Have certificate,,8.9
Hồ Chí Minh,Quận 7,Phường Tân Quy,Đường Số 79,75.2,4.7,,,,3.0,4.0,4.0,,,8.65
Hồ Chí Minh,Thủ Đức,Phường Linh Trung,Đường 10,49.0,4.5,4.0,,,2.0,2.0,2.0,Have certificate,,4.65
Khánh Hòa,Nha Trang,Xã Vĩnh Thái,Dự án Mỹ Gia,100.0,5.0,16.0,Đông - Nam,,3.0,3.0,3.0,Sale contract,Full,5.5
Hà Nội,Chương Mỹ,Xã Phụng Châu,Đường Liên Xã,32.0,,,,,4.0,4.0,3.0,Have certificate,Basic,2.13
Hà Nội,Hà Đông,Phường Biên Giang,Đường Phúc Thành,34.0,3.5,3.0,Đông - Bắc,Đông - Bắc,4.0,3.0,3.0,Have certificate,Full,2.7
Hồ Chí Minh,Tân Bình,Phường 11,Đường Lạc Long Quân,44.0,4.25,,,,3.0,4.0,3.0,Have certificate,Basic,7.8
Hồ Chí Minh,Gò Vấp,Phường 5,Đường Dương Quảng Hàm,90.0,4.5,6.0,,,,,,,,8.7
Hồ Chí Minh,Gò Vấp,Phường 9,Đường Số 3,70.0,6.1,3.5,,,3.0,3.0,3.0,Have certificate,,6.5
Hà Nội,Hà Đông,Phường Mỗ Lao,Đường Mỗ Lao,38.0,4.0,,,,5.0,5.0,,Have certificate,,7.3
Hồ Chí Minh,Bình Tân,Phường Bình Hưng Hòa,2/,50.36,,,,,3.0,,,Have certificate,Basic,6.2
Hồ Chí Minh,Tân Bình,Phường 7,Đường Bành Văn Trân,51.0,3.6,,,,,4.0,6.0,Have certificate,,10.0
Hà Nội,Đống Đa,Phường Khâm Thiên,Phố Khâm Thiên,30.0,3.0,,,,5.0,3.0,4.0,Have certificate,,5.5
Hà Nội,Đống Đa,Phường Nam Đồng,Phố Xã Đàn,35.0,5.0,,Tây - Bắc,,5.0,4.0,,,Full,8.4
Hồ Chí Minh,Bình Thạnh,Phường 13,Đường Đặng Thùy Trâm,90.0,8.0,8.0,,,,1.0,,Have certificate,,10.0
Hồ Chí Minh,Tân Bình,Phường 13,Đường Trường Chinh,79.0,4.2,,,,4.0,6.0,5.0,Have certificate,Full,8.0
Hồ Chí Minh,Tân Bình,Phường 4,Đường Hoàng Văn Thụ,81.6,,8.0,,,3.0,3.0,4.0,Have certificate,Basic,8.6
Khánh Hòa,Nha Trang,Phường Vĩnh Hòa,Đường Lý Thái Tổ,66.0,5.0,20.0,Bắc,,2.0,3.0,3.0,Have certificate,,4.6
Đà Nẵng,Thanh Khê,Phường An Khê,Đường Trần Cao Vân,93.3,5.0,10.5,Nam,,3.0,4.0,4.0,Have certificate,,9.2
Hải Phòng,An Dương,Xã An Đồng,Đường Vân Tra,65.2,5.0,3.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Basic,2.45
Tây Ninh,Tây Ninh,Phường 4,Đường Chánh Môn A,130.0,5.0,10.0,Nam,,1.0,2.0,1.0,Have certificate,,2.25
Hà Nội,Thanh Trì,Xã Tân Triều,Đường Cầu Bươu,47.0,4.0,,,,5.0,6.0,4.0,Have certificate,Basic,7.9
Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Hà Huy Giáp,60.0,4.0,10.0,Tây - Nam,,3.0,4.0,5.0,Have certificate,Full,7.1
Hà Nội,Cầu Giấy,Phường Mai Dịch,Phố Doãn Kế Thiện,68.0,,,,,4.0,4.0,6.0,,,9.1
Hồ Chí Minh,Quận 9,Phường Long Trường,Hẻm 47,52.8,8.0,8.0,,,3.0,3.0,3.0,Have certificate,Basic,4.5
Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,Đường Tân Thới Hiệp 20,237.0,10.0,5.0,,,1.0,6.0,5.0,Have certificate,,7.9
Hồ Chí Minh,Tân Phú,Phường Tân Quý,Đường Tân Hương,64.0,,10.0,,,4.0,,,Have certificate,,10.0
